"accumulatedFirstCnt","accumulatedSecondCnt","accumulatedThirdCnt","baseDate","firstCnt","id","secondCnt","sido","thirdCnt","totalFirstCnt","totalSecondCnt","totalThirdCnt"
1240389,60567,0,"2021-04-15",45520,632,2,"전국",0,1285909,60569,0
1195676,60564,0,"2021-04-14",43390,614,3,"전국",0,1239066,60567,0
1157557,60532,0,"2021-04-13",37785,596,25,"전국",0,1195342,60557,0
1156950,60511,0,"2021-04-12",305,578,0,"전국",0,1157255,60511,0
1148240,59422,0,"2021-04-11",8710,560,1088,"전국",0,1156950,60510,0
1114656,52144,0,"2021-04-10",33404,542,7278,"전국",0,1148060,59422,0
1077067,42646,0,"2021-04-09",36599,524,9490,"전국",0,1113666,52136,0
1039714,33416,0,"2021-04-08",35860,506,9231,"전국",0,1075574,42647,0
1001533,27692,0,"2021-04-07",37533,488,5722,"전국",0,1039066,33414,0
963900,27375,0,"2021-04-06",35970,470,316,"전국",0,999870,27691,0
962101,27298,0,"2021-04-05",629,452,66,"전국",0,962730,27364,0
953854,26761,0,"2021-04-04",8229,434,537,"전국",0,962083,27298,0
915498,20203,0,"2021-04-03",38058,416,6177,"전국",0,953556,26380,0
877944,12974,0,"2021-04-02",36125,398,6881,"전국",0,914069,19855,0
853930,8187,0,"2021-04-01",22643,380,4786,"전국",0,876573,12973,0
823795,6151,0,"2021-03-31",28407,362,2034,"전국",0,852202,8185,0
795910,5232,0,"2021-03-30",26538,344,919,"전국",0,822448,6151,0
793955,5232,0,"2021-03-29",11,326,0,"전국",0,793966,5232,0
792802,5232,0,"2021-03-28",1056,308,0,"전국",0,793858,5232,0
769429,3833,0,"2021-03-27",22845,290,1399,"전국",0,792274,5232,0
734985,2691,0,"2021-03-26",32466,272,1142,"전국",0,767451,3833,0
704902,1498,0,"2021-03-25",28222,254,1193,"전국",0,733124,2691,0
683461,883,0,"2021-03-24",20151,236,615,"전국",0,703612,1498,0
677856,593,0,"2021-03-23",2704,217,290,"전국",0,680560,883,0
676606,313,0,"2021-03-22",1,199,280,"전국",0,676607,593,0
675648,0,0,"2021-03-21",939,181,313,"전국",0,676587,313,0
660294,0,0,"2021-03-20",15132,163,0,"전국",0,675426,0,0
641974,0,0,"2021-03-19",17501,145,0,"전국",0,659475,0,0
622598,0,0,"2021-03-18",18733,127,0,"전국",0,641331,0,0
603451,0,0,"2021-03-17",18283,109,0,"전국",0,621734,0,0
590228,0,0,"2021-03-16",11922,91,0,"전국",0,602150,0,0
587884,0,0,"2021-03-15",1074,73,0,"전국",0,588958,0,0
584397,0,0,"2021-03-14",3487,55,0,"전국",0,587884,0,0
547974,0,0,"2021-03-13",35684,37,0,"전국",0,583658,0,0
503750,0,0,"2021-03-12",42527,19,0,"전국",0,546277,0,0
449535,0,0,"2021-03-11",51100,1,0,"전국",0,500635,0,0
