"areaNmEn","stdDay","createDt","natDeathCnt","natDeathRate","natDefCnt","nationNmEn","nationNm","seq"
"America","2022년 02월 05일 09시",2022-02-05,3433,"3.0295542592",113317,"Trinidad and Tobago","트리니다드토바고",143281
"America","2022년 02월 05일 09시",2022-02-05,2677,"2.1373253493",125250,"Jamaica","자메이카",143280
"America","2022년 02월 05일 09시",2022-02-05,8420,"0.8023586676",1049406,"Cuba","쿠바",143279
"America","2022년 02월 05일 09시",2022-02-05,4315,"0.7720025190",558936,"Dominican Republic","도미니카공화국",143278
"America","2022년 02월 05일 09시",2022-02-05,221,"1.6099657609",13727,"Nicaragua","니카라구아",143277
"America","2022년 02월 05일 09시",2022-02-05,629,"1.1918522027",52775,"Belize","벨리즈",143276
"America","2022년 02월 05일 09시",2022-02-05,3921,"2.9021012663",135109,"Elsalvador","엘살바도르",143275
"America","2022년 02월 05일 09시",2022-02-05,7605,"1.0733036016",708560,"Costa Rica","코스타리카",143274
"America","2022년 02월 05일 09시",2022-02-05,16421,"2.3512818860",698385,"Guatemala","과테말라",143273
"America","2022년 02월 05일 09시",2022-02-05,10504,"2.6804534110",391874,"Honduras","온두라스",143272
"America","2022년 02월 05일 09시",2022-02-05,7773,"1.0921874802",711691,"Panama","파나마",143271
"America","2022년 02월 05일 09시",2022-02-05,306920,"6.1560197597",4985689,"Mexico","멕시코",143270
"America","2022년 02월 05일 09시",2022-02-05,34212,"1.1100584036",3082000,"Canada","캐나다",143269
"America","2022년 02월 05일 09시",2022-02-05,888113,"1.1827633325",75087972,"United States of America","미국",143268
"Middle East","2022년 02월 05일 09시",2022-02-05,2018,"18.106774338",11145,"Yemen","예멘",143267
"Middle East","2022년 02월 05일 09시",2022-02-05,6604,"2.5909723993",254885,"Algeria","알제리",143266
"Middle East","2022년 02월 05일 09시",2022-02-05,2253,"0.2645803999",851537,"United Arab Emirates","아랍에미리트",143265
"Middle East","2022년 02월 05일 09시",2022-02-05,9080,"0.2939379823",3089087,"Israel","이스라엘",143264
"Middle East","2022년 02월 05일 09시",2022-02-05,26429,"2.8591210277",924375,"Tunisia","튀니지",143263
"Middle East","2022년 02월 05일 09시",2022-02-05,2995,"5.8077527196",51569,"Syria","시리아",143262
"Middle East","2022년 02월 05일 09시",2022-02-05,8947,"1.2798450510",699069,"Saudi Arabia","사우디아라비아",143261
"Middle East","2022년 02월 05일 09시",2022-02-05,651,"0.1899005574",342811,"Qatar","카타르",143260
"Middle East","2022년 02월 05일 09시",2022-02-05,4158,"1.2015917189",346041,"Oman","오만",143259
"Middle East","2022년 02월 05일 09시",2022-02-05,15464,"1.3578645770",1138847,"Morocco","모로코",143258
"Middle East","2022년 02월 05일 09시",2022-02-05,6044,"1.3675476684",441959,"Libya","리비아",143257
"Middle East","2022년 02월 05일 09시",2022-02-05,9638,"1.0261029169",939282,"Lebanon","레바논",143256
"Middle East","2022년 02월 05일 09시",2022-02-05,2503,"0.4432167299",564735,"Kuwait","쿠웨이트",143255
"Middle East","2022년 02월 05일 09시",2022-02-05,13248,"1.0506089297",1260983,"Jordan","요르단",143254
"Middle East","2022년 02월 05일 09시",2022-02-05,24455,"1.0948080000",2233725,"Iraq","이라크",143253
"Middle East","2022년 02월 05일 09시",2022-02-05,22735,"5.2813138821",430480,"Egypt","이집트",143252
"Middle East","2022년 02월 05일 09시",2022-02-05,1409,"0.3607261630",390601,"Bahrain","바레인",143251
"Middle East","2022년 02월 05일 09시",2022-02-05,132624,"2.0454674797",6483799,"Iran","이란",143250
"Asia","2022년 02월 05일 09시",2022-02-05,125,"0.7049004680",17733,"Tajikistan","타지키스탄",143249
"Asia","2022년 02월 05일 09시",2022-02-05,558,"0.4124138032",135301,"Laos","라오스",143248
"Asia","2022년 02월 05일 09시",2022-02-05,19310,"3.5965461237",536904,"Myanmar","미얀마",143247
"Asia","2022년 02월 05일 09시",2022-02-05,122,"0.6027667984",20240,"East Timor","동티모르",143246
"Asia","2022년 02월 05일 09시",2022-02-05,2896,"1.4540780462",199164,"Kyrgyzstan","키르기스스탄",143245
"Asia","2022년 02월 05일 09시",2022-02-05,1579,"0.6956039066",226997,"Uzbekistan","우즈베키스탄",143244
"Asia","2022년 02월 05일 09시",2022-02-05,18600,"1.3806587523",1347183,"Kazakhstan","카자흐스탄",143243
"Asia","2022년 02월 05일 09시",2022-02-05,2043,"0.4572638477",446788,"Mongolia","몽골",143242
"Asia","2022년 02월 05일 09시",2022-02-05,59,"0.3492984429",16891,"Brunei","브루나이",143241
"Asia","2022년 02월 05일 09시",2022-02-05,28524,"1.5461604008",1844828,"Bangladesh","방글라데시",143240
"Asia","2022년 02월 05일 09시",2022-02-05,280,"0.1930555172",145036,"Maldives","몰디브",143239
"Asia","2022년 02월 05일 09시",2022-02-05,4,"0.0699300699",5720,"Bhutan","부탄",143238
"Asia","2022년 02월 05일 09시",2022-02-05,144453,"3.2485482473",4446694,"Indonesia","인도네시아",143237
"Asia","2022년 02월 05일 09시",2022-02-05,29372,"2.0365217716",1442263,"Pakistan","파키스탄",143236
"Asia","2022년 02월 05일 09시",2022-02-05,7420,"4.5044224686",164727,"Afghanistan","아프가니스탄",143235
"Asia","2022년 02월 05일 09시",2022-02-05,15515,"2.5241638046",614659,"Sri Lanka","스리랑카",143234
"Asia","2022년 02월 05일 09시",2022-02-05,11794,"1.2232929752",964119,"Nepal","네팔",143233
"Asia","2022년 02월 05일 09시",2022-02-05,3015,"2.4818083039",121484,"Cambodia","캄보디아",143232
"Asia","2022년 02월 05일 09시",2022-02-05,54168,"1.5107680713",3585461,"Philippines","필리핀",143231
"Asia","2022년 02월 05일 09시",2022-02-05,500055,"1.1919491640",41952712,"India","인도",143230
"Asia","2022년 02월 05일 09시",2022-02-05,38063,"1.6519718153",2304095,"Vietnam","베트남",143229
"Asia","2022년 02월 05일 09시",2022-02-05,32000,"1.1081176543",2887780,"Malaysia","말레이시아",143228
"Asia","2022년 02월 05일 09시",2022-02-05,22250,"0.8987603973",2475632,"Thailand","태국",143227
"Asia","2022년 02월 05일 09시",2022-02-05,860,"0.2346694026",366473,"Singapore","싱가포르",143226
"Asia","2022년 02월 05일 09시",2022-02-05,19039,"0.6330557583",3007476,"Japan","일본",143225
"Asia","2022년 02월 05일 09시",2022-02-05,0,"0",79,"Macau","마카오",143224
"Asia","2022년 02월 05일 09시",2022-02-05,851,"4.4721214987",19029,"Taiwan","대만",143223
"Asia","2022년 02월 05일 09시",2022-02-05,213,"1.4963119072",14235,"Hong Kong","홍콩",143222
"Asia","2022년 02월 05일 09시",2022-02-05,4636,"4.3613648550",106297,"China","중국",143221
"Asia","2022년 02월 05일 00시",2022-02-05,6858,"0.7062690907",971018,"South Korea","한국",143220
